,code,company
0,0066.HK,港鐵公司
1,0144.HK,招商局港口
2,0293.HK,國泰航空
3,0494.HK,利豐
4,0753.HK,中國國航
5,0670.HK,中國東方航空股份
6,1199.HK,中遠海運港口
7,0316.HK,東方海外國際
8,0368.HK,德合集團
9,0525.HK,廣深鐵路股份
10,0548.HK,深圳高速公路股份
11,0107.HK,四川成渝高速公路
12,0576.HK,浙江滬杭甬
13,0598.HK,中國外運
14,0636.HK,嘉里物流
15,0694.HK,北京首都機場股份
16,1919.HK,中遠海控
17,0737.HK,灣區發展
18,0995.HK,安徽皖通高速公路
19,1055.HK,中國南方航空股份
