,code,company
0,1099.HK,國藥控股
1,0460.HK,四環醫藥
2,0570.HK,中國中藥
3,0719.HK,山東新華製藥股份
4,0775.HK,長江生命科技
5,0867.HK,康哲藥業
6,0874.HK,白雲山
7,0911.HK,前海健康
8,1066.HK,威高股份
9,1093.HK,石藥集團
10,1302.HK,先健科技
11,1666.HK,同仁堂科技
12,2186.HK,綠葉製藥
13,2607.HK,上海醫藥
14,2877.HK,神威藥業
15,3933.HK,聯邦制藥
16,3886.HK,康健國際醫療
17,2666.HK,環球醫療
18,1530.HK,三生製藥
19,1515.HK,華潤醫療
