,code,company
0,1088.HK,中國神華
1,0386.HK,中國石油化工股份
2,0857.HK,中國石油股份
3,0883.HK,中國海洋石油
4,0135.HK,昆侖能源
5,1171.HK,兗州煤業股份
6,1898.HK,中煤能源
7,0392.HK,北京控股
8,1193.HK,華潤燃氣
9,0451.HK,協鑫新能源
10,0579.HK,京能清潔能源
11,0735.HK,0735.HK
12,0931.HK,中國天然氣
13,0933.HK,光匯石油
14,0934.HK,中石化冠德
15,1033.HK,中石化油服
16,1555.HK,ＭＩ能源
17,0338.HK,上海石油化工股份
18,2688.HK,新奧能源
19,1205.HK,中信資源
