,code,company
0,0700.HK,騰訊控股
1,0241.HK,阿里健康
2,0268.HK,金蝶國際
3,0327.HK,百富環球
4,0354.HK,中國軟件國際
5,0400.HK,科通芯城
6,0696.HK,中國民航信息網絡
7,0777.HK,網龍
8,1980.HK,天鴿互動
9,3888.HK,金山軟件
10,0799.HK,IGG
11,1297.HK,中國擎天軟件
12,0484.HK,雲遊控股
13,0434.HK,博雅互動
14,1900.HK,中國智能交通
15,1357.HK,美圖公司
