,code,company
0,0390.HK,中國中鐵
1,1186.HK,中國鐵建
2,1800.HK,中國交通建設
3,0257.HK,中國光大國際
4,0317.HK,中船防務
5,1829.HK,中國機械工程
6,0439.HK,光啟科學
7,0659.HK,新創建集團
8,1157.HK,中聯重科
9,2338.HK,濰柴動力
10,3808.HK,中國重汽
11,3311.HK,中國建築國際
12,1766.HK,中國中車
13,3898.HK,中車時代電氣
14,0187.HK,京城機電股份
15,0916.HK,龍源電力
16,1065.HK,天津創業環保股份
17,0958.HK,0958.HK
18,0586.HK,海螺創業
