,code,company
0,0992.HK,聯想集團
1,2018.HK,瑞聲科技
2,0148.HK,建滔集團
3,0285.HK,比亞迪電子
4,0303.HK,VTECH HOLDINGS
5,0522.HK,ASMPACIFIC
6,0553.HK,南京熊貓電子股份
7,0553.HK,南京熊貓電子股份
8,0698.HK,通達集團
9,0732.HK,信利國際
10,0981.HK,中芯國際
11,2382.HK,舜宇光學科技
12,1478.HK,丘鈦科技
13,1347.HK,華虹半導體
14,2357.HK,中航科工
