,code,company
0,0002.HK,中電控股
1,0003.HK,香港中華煤氣
2,0006.HK,電能實業
3,0762.HK,中國聯通
4,0836.HK,華潤電力
5,0941.HK,中國移動
6,1038.HK,長江基建集團
7,2638.HK,港燈－ＳＳ
8,0728.HK,中國電信
9,0902.HK,華能國際電力股份
10,1816.HK,中廣核電力
11,2380.HK,中國電力
12,0008.HK,電訊盈科
13,0215.HK,和記電訊香港
14,0315.HK,數碼通電訊
15,0991.HK,大唐發電
16,1310.HK,香港寬頻
17,1083.HK,港華燃氣
18,0371.HK,北控水務集團
19,0855.HK,中國水務
